,GWNO,EVENT_ID_CNTY,EVENT_ID_NO_CNTY,EVENT_DATE,YEAR,TIME_PRECISION,EVENT_TYPE,ACTOR1,ALLY_ACTOR_1,INTER1,ACTOR2,ALLY_ACTOR_2,INTER2,INTERACTION,COUNTRY,ADMIN1,ADMIN2,ADMIN3,LOCATION,LATITUDE,LONGITUDE,GEO_PRECISION,SOURCE,NOTES,FATALITIES,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
46353,501,1KEN,46355,1997-01-15,1997,3,Violence against civilians,Police Forces of Kenya (1978-2002),,1,Civilians (Kenya),Samburu Ethnic Group (Kenya); Turkana Ethnic Group (Kenya),7,17,Kenya,Turkana,Turkana East,Katilia,Suguta Valley,2.16667,36.51667,1,BBC Monitoring Service: Africa,Police cause unknown number of fatalities as they attempt to chase cattle rustlers from their land following the shooting down of an Army helicopter.,10,,,,,,,,,,,
46354,501,2KEN,46356,1997-01-22,1997,1,Violence against civilians,Police Forces of Kenya (1978-2002),,1,Civilians (International),Wardei Ethnic Group (Kenya),7,17,Kenya,Nakuru,Nakuru Town East,Kivumbini,Nakuru,-0.3,36.0833,1,Reuters News,Police shot and killed an Irish priest (Fr. Larry Timmons) in his home after he confronted them over alleged corruption at an earlier time. The priest was a missionary Nakuru.,1,,,,,,,,,,,
46355,501,3KEN,46357,1997-01-23,1997,1,Violence against civilians,Giriama Ethnic Militia (Kenya),,4,Civilians (Somalia),IDPs/Refugees (Somalia),7,47,Kenya,Mombasa,Mvita,Tononoka,Mombasa,-4.05,39.66667,1,Reuters News,"Two Somali refugees are burnt to death when a fire, started by Giriama tribesmen, swept through their camp. 14,000 were also left homeless due to the fire.",2,,,,,,,,,,,
46356,501,4KEN,46358,1997-01-25,1997,1,Riots/Protests,Protesters (Kenya),Catholic Group (Kenya),6,,,0,60,Kenya,Nakuru,Nakuru Town East,Kivumbini,Nakuru,-0.3,36.0833,1,Associated Press International,Roman Catholic Church leaders protest the police killing of an Irish priest on Jan 22.,0,,,,,,,,,,,
46357,501,5KEN,46359,1997-02-09,1997,1,Violence against civilians,Police Forces of Kenya (1978-2002),,1,Civilians (Kenya),Safina Political Party,7,17,Kenya,Nyeri,Nyeri Town,Rware,Nyeri,-0.41667,36.95,1,Reuters News; Agence France Presse; Associated Press,Two members of Safina party and bystanders were attacked by police in Nyeri.,0,,,,,,,,,,,
46358,501,6KEN,46360,1997-02-18,1997,1,Violence against civilians,Unidentified Armed Group (Ethiopia),,3,Civilians (Kenya),NARC: National Rainbow Coalition,7,37,Kenya,Turkana,Turkana North,Lake Zone,Todenyang,4.53333,35.93333,1,BBC Monitoring Service: Africa,"Armed raiders from Ethiopia cross the Kenyan border, killed eight and rode away with a large number of livestock.",8,,,,,,,,,,,
46359,501,7KEN,46361,1997-02-23,1997,1,Riots/Protests,Rioters (Kenya),Students (Kenya),5,,,0,50,Kenya,Nairobi,Starehe,Nairobi Central,Nairobi,-1.28333,36.81667,1,Reuters News; Agence France Presse,Hundreds of University of Nairobi students took to the streets protesting the suspected murder of a fellow student leader. Many created barricades and threw stones at passing cars.,0,,,,,,,,,,,
46360,501,8KEN,46362,1997-02-23,1997,1,Remote violence,Unidentified Armed Group (Kenya),,3,Civilians (Kenya),Students (Kenya); Luhya Ethnic Group (Kenya),7,37,Kenya,Kiambu,Kiambu,Riabai,Kikuyu Township,-1.1666,36.8333,1,Xinhua; Associated Press,"A student leader is killed after a bomb explodes in his dorm room. It is possible that this incident was an accident, but it could be intentional, as his had a history of political involvement and had received death threats in the past.",1,,,,,,,,,,,
46361,501,9KEN,46363,1997-02-24,1997,1,Riots/Protests,Rioters (Kenya),Students (Kenya),5,,,0,50,Kenya,Nairobi,Starehe,Nairobi Central,Nairobi,-1.28333,36.81667,1,Xinhua,Second day of students rioting after death of fellow student leader.,0,,,,,,,,,,,
46362,501,10KEN,46364,1997-02-24,1997,1,Riots/Protests,Rioters (Kenya),Students (Kenya),5,,,0,50,Kenya,Nakuru,Nakuru Town East,Kivumbini,Nakuru,-0.3,36.0833,1,Agence France Presse,Egerton University students in Nakuru protested the death of a University of Nairobi student.,0,,,,,,,,,,,
