"","EVENT_DATE","YEAR","EVENT_TYPE","PERPRETATORS","VICTIMS","COUNTRY","ADMIN1","ADMIN2","ADMIN3","LOCATION","LATITUDE","LONGITUDE","SOURCE","FATALITIES"
"1","1997-01-15",1997,"Violence against civilians","Police Forces of Kenya (1978-2002)","Civilians (Kenya)","Kenya","Turkana","Turkana East","Katilia","Suguta Valley",2.16667,36.51667,"BBC Monitoring Service: Africa",10
"2","1997-01-22",1997,"Violence against civilians","Police Forces of Kenya (1978-2002)","Civilians (International)","Kenya","Nakuru","Nakuru Town East","Kivumbini","Nakuru",-0.3,36.0833,"Reuters News",1
"3","1997-01-23",1997,"Violence against civilians","Giriama Ethnic Militia (Kenya)","Civilians (Somalia)","Kenya","Mombasa","Mvita","Tononoka","Mombasa",-4.05,39.66667,"Reuters News",2
"4","1997-01-25",1997,"Riots/Protests","Protesters (Kenya)","Unitentified","Kenya","Nakuru","Nakuru Town East","Kivumbini","Nakuru",-0.3,36.0833,"Associated Press International",0
"5","1997-02-09",1997,"Violence against civilians","Police Forces of Kenya (1978-2002)","Civilians (Kenya)","Kenya","Nyeri","Nyeri Town","Rware","Nyeri",-0.41667,36.95,"Reuters News; Agence France Presse; Associated Press",0
"6","1997-02-18",1997,"Violence against civilians","Unidentified Armed Group (Ethiopia)","Civilians (Kenya)","Kenya","Turkana","Turkana North","Lake Zone","Todenyang",4.53333,35.93333,"BBC Monitoring Service: Africa",8
"7","1997-02-23",1997,"Riots/Protests","Rioters (Kenya)","Unitentified","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"Reuters News; Agence France Presse",0
"8","1997-02-23",1997,"Remote violence","Unidentified Armed Group (Kenya)","Civilians (Kenya)","Kenya","Kiambu","Kiambu","Riabai","Kikuyu Township",-1.1666,36.8333,"Xinhua; Associated Press",1
"9","1997-02-24",1997,"Riots/Protests","Rioters (Kenya)","Unitentified","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"Xinhua",0
"10","1997-02-24",1997,"Riots/Protests","Rioters (Kenya)","Unitentified","Kenya","Nakuru","Nakuru Town East","Kivumbini","Nakuru",-0.3,36.0833,"Agence France Presse",0
"11","1997-02-25",1997,"Riots/Protests","Protesters (Kenya)","Unitentified","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"Associated Press International",0
"12","1997-02-26",1997,"Riots/Protests","Protesters (Kenya)","Police Forces of Kenya (1978-2002)","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"Associated Press International",0
"13","1997-03-23",1997,"Battle-No change of territory","Unidentified Ethnic Militia (Ethiopia)","Police Forces of Kenya (1978-2002)","Kenya","Mandera","Mandera West","Takaba South","Kokai",3.31667,40.45,"BBC Monitoring",16
"14","1997-03-23",1997,"Violence against civilians","Unidentified Ethnic Militia (Ethiopia)","Civilians (Kenya)","Kenya","Mandera","Mandera West","Takaba South","Kokai",3.31667,40.45,"BBC Monitoring",41
"15","1997-03-27",1997,"Battle-No change of territory","Unidentified Armed Group (Ethiopia)","Police Forces of Kenya (1978-2002)","Kenya","Marsabit","North Horr","Illeret","Ileret",4.31667,36.21667,"Reuters News",16
"16","1997-03-27",1997,"Battle-No change of territory","Unidentified Ethnic Militia (Ethiopia)","Police Forces of Kenya (1978-2002)","Kenya","Mandera","Mandera West","Takaba South","Kokai",3.31667,40.45,"Reuters",0
"17","1997-03-27",1997,"Violence against civilians","Unidentified Armed Group (Ethiopia)","Civilians (Kenya)","Kenya","Marsabit","North Horr","Illeret","Ileret",4.31667,36.21667,"Reuters News",80
"18","1997-03-27",1997,"Violence against civilians","Unidentified Ethnic Militia (Ethiopia)","Civilians (Kenya)","Kenya","Mandera","Mandera West","Takaba South","Kokai",3.31667,40.45,"Reuters",26
"19","1997-04-02",1997,"Riots/Protests","Protesters (Kenya)","Unitentified","Kenya","Kisumu","Kisumu Central","Market Milimani","Kisumu",-0.1,34.75,"Xinhua",0
"20","1997-04-02",1997,"Riots/Protests","Protesters (Kenya)","Unitentified","Kenya","Mombasa","Mvita","Tononoka","Mombasa",-4.05,39.66667,"Xinhua",0
"21","1997-04-02",1997,"Riots/Protests","Protesters (Kenya)","Unitentified","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"Xinhua",0
"22","1997-04-02",1997,"Riots/Protests","Protesters (Kenya)","Unitentified","Kenya","Nakuru","Nakuru Town East","Kivumbini","Nakuru",-0.3,36.0833,"Xinhua",0
"23","1997-04-11",1997,"Battle-No change of territory","Unidentified Armed Group (Kenya)","Police Forces of Kenya (1978-2002)","Kenya","Marsabit","Laisamis","Laisamis","Laisamis",1.6,37.8,"BBC Monitoring Service: Africa",6
"24","1997-04-12",1997,"Violence against civilians","Police Forces of Kenya (1978-2002)","Civilians (Kenya)","Kenya","Uasin Gishu","Ainabkoi","Kapsoya","Eldoret",0.516667,35.283333,"Agence France Presse",0
"25","1997-04-14",1997,"Riots/Protests","Protesters (Kenya)","Police Forces of Kenya (1978-2002)","Kenya","Kitui","Kitui Central","Township","Kitui",-1.36667,38.01667,"Agence France Presse",0
"26","1997-04-14",1997,"Violence against civilians","Police Forces of Kenya (1978-2002)","Civilians (Kenya)","Kenya","Kakamega","Lurambi","Sheywe","Kakamega",0.2833,34.75,"Agence France Presse; KTN TV",0
"27","1997-04-18",1997,"Riots/Protests","Protesters (Kenya)","Unitentified","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"Xinhua",0
"28","1997-04-21",1997,"Violence against civilians","Unidentified Armed Group (Kenya)","Civilians (Kenya)","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"Agence France Presse",1
"29","1997-05-01",1997,"Battle-No change of territory","Pokot Ethnic Militia (Kenya)","Police Forces of Kenya (1978-2002)","Kenya","Elgeyo-Marakwet","Keiyo North","Kapchemutwa","Iten",0.670173,35.507735,"Reuters News; Agence France Presse",4
