"","EVENT_DATE","YEAR","EVENT_TYPE","PERPRETATORS","VICTIMS","COUNTRY","ADMIN1","ADMIN2","ADMIN3","LOCATION","LATITUDE","LONGITUDE","SOURCE","NOTES","FATALITIES"
"1","1997-01-15",1997,"Violence against civilians","Police Forces of Kenya (1978-2002)","Civilians (Kenya)","Kenya","Turkana","Turkana East","Katilia","Suguta Valley",2.16667,36.51667,"BBC Monitoring Service: Africa","Police cause unknown number of fatalities as they attempt to chase cattle rustlers from their land following the shooting down of an Army helicopter.",10
"2","1997-01-22",1997,"Violence against civilians","Police Forces of Kenya (1978-2002)","Civilians (International)","Kenya","Nakuru","Nakuru Town East","Kivumbini","Nakuru",-0.3,36.0833,"Reuters News","Police shot and killed an Irish priest (Fr. Larry Timmons) in his home after he confronted them over alleged corruption at an earlier time. The priest was a missionary Nakuru.",1
"3","1997-01-23",1997,"Violence against civilians","Giriama Ethnic Militia (Kenya)","Civilians (Somalia)","Kenya","Mombasa","Mvita","Tononoka","Mombasa",-4.05,39.66667,"Reuters News","Two Somali refugees are burnt to death when a fire, started by Giriama tribesmen, swept through their camp. 14,000 were also left homeless due to the fire.",2
"4","1997-01-25",1997,"Riots/Protests","Protesters (Kenya)","Unitentified","Kenya","Nakuru","Nakuru Town East","Kivumbini","Nakuru",-0.3,36.0833,"Associated Press International","Roman Catholic Church leaders protest the police killing of an Irish priest on Jan 22.",0
"5","1997-02-09",1997,"Violence against civilians","Police Forces of Kenya (1978-2002)","Civilians (Kenya)","Kenya","Nyeri","Nyeri Town","Rware","Nyeri",-0.41667,36.95,"Reuters News; Agence France Presse; Associated Press","Two members of Safina party and bystanders were attacked by police in Nyeri.",0
"6","1997-02-18",1997,"Violence against civilians","Unidentified Armed Group (Ethiopia)","Civilians (Kenya)","Kenya","Turkana","Turkana North","Lake Zone","Todenyang",4.53333,35.93333,"BBC Monitoring Service: Africa","Armed raiders from Ethiopia cross the Kenyan border, killed eight and rode away with a large number of livestock.",8
"7","1997-02-23",1997,"Riots/Protests","Rioters (Kenya)","Unitentified","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"Reuters News; Agence France Presse","Hundreds of University of Nairobi students took to the streets protesting the suspected murder of a fellow student leader. Many created barricades and threw stones at passing cars.",0
"8","1997-02-23",1997,"Remote violence","Unidentified Armed Group (Kenya)","Civilians (Kenya)","Kenya","Kiambu","Kiambu","Riabai","Kikuyu Township",-1.1666,36.8333,"Xinhua; Associated Press","A student leader is killed after a bomb explodes in his dorm room. It is possible that this incident was an accident, but it could be intentional, as his had a history of political involvement and had received death threats in the past.",1
"9","1997-02-24",1997,"Riots/Protests","Rioters (Kenya)","Unitentified","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"Xinhua","Second day of students rioting after death of fellow student leader.",0
"10","1997-02-24",1997,"Riots/Protests","Rioters (Kenya)","Unitentified","Kenya","Nakuru","Nakuru Town East","Kivumbini","Nakuru",-0.3,36.0833,"Agence France Presse","Egerton University students in Nakuru protested the death of a University of Nairobi student.",0
"11","1997-02-25",1997,"Riots/Protests","Protesters (Kenya)","Unitentified","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"Associated Press International","Third day of students protesting after death of fellow student leader.",0
"12","1997-02-26",1997,"Riots/Protests","Protesters (Kenya)","Police Forces of Kenya (1978-2002)","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"Associated Press International","Kenya Polytechnic students protested the death of a Nairobi student that occurred a few days prior. Police with clubs broke up the demonstration. No reports of injuries.",0
"13","1997-03-23",1997,"Battle-No change of territory","Unidentified Ethnic Militia (Ethiopia)","Police Forces of Kenya (1978-2002)","Kenya","Mandera","Mandera West","Takaba South","Kokai",3.31667,40.45,"BBC Monitoring","Ethiopian raiders clash with Kenyan security forces",16
"14","1997-03-23",1997,"Violence against civilians","Unidentified Ethnic Militia (Ethiopia)","Civilians (Kenya)","Kenya","Mandera","Mandera West","Takaba South","Kokai",3.31667,40.45,"BBC Monitoring","Ethiopian raiders attack and kill Kenyan civilians",41
"15","1997-03-27",1997,"Battle-No change of territory","Unidentified Armed Group (Ethiopia)","Police Forces of Kenya (1978-2002)","Kenya","Marsabit","North Horr","Illeret","Ileret",4.31667,36.21667,"Reuters News","Ethiopian bandits kill 16 policemen who engaged them following a raid on a village.",16
"16","1997-03-27",1997,"Battle-No change of territory","Unidentified Ethnic Militia (Ethiopia)","Police Forces of Kenya (1978-2002)","Kenya","Mandera","Mandera West","Takaba South","Kokai",3.31667,40.45,"Reuters","Ethiopian raiders clash with Kenyan security forces",0
"17","1997-03-27",1997,"Violence against civilians","Unidentified Armed Group (Ethiopia)","Civilians (Kenya)","Kenya","Marsabit","North Horr","Illeret","Ileret",4.31667,36.21667,"Reuters News","Ethiopian bandits kill 80 and steal their cattle.",80
"18","1997-03-27",1997,"Violence against civilians","Unidentified Ethnic Militia (Ethiopia)","Civilians (Kenya)","Kenya","Mandera","Mandera West","Takaba South","Kokai",3.31667,40.45,"Reuters","Raiders from Ethiopia attack Kenyans",26
"19","1997-04-02",1997,"Riots/Protests","Protesters (Kenya)","Unitentified","Kenya","Kisumu","Kisumu Central","Market Milimani","Kisumu",-0.1,34.75,"Xinhua","Railway workers go on strike in protest of salary payments.",0
"20","1997-04-02",1997,"Riots/Protests","Protesters (Kenya)","Unitentified","Kenya","Mombasa","Mvita","Tononoka","Mombasa",-4.05,39.66667,"Xinhua","Railway workers go on strike in protest of salary payments.",0
"21","1997-04-02",1997,"Riots/Protests","Protesters (Kenya)","Unitentified","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"Xinhua","Railway workers go on strike in protest of salary payments.",0
"22","1997-04-02",1997,"Riots/Protests","Protesters (Kenya)","Unitentified","Kenya","Nakuru","Nakuru Town East","Kivumbini","Nakuru",-0.3,36.0833,"Xinhua","Railway workers go on strike in protest of salary payments.",0
"23","1997-04-11",1997,"Battle-No change of territory","Unidentified Armed Group (Kenya)","Police Forces of Kenya (1978-2002)","Kenya","Marsabit","Laisamis","Laisamis","Laisamis",1.6,37.8,"BBC Monitoring Service: Africa","Police forces kill six cattle thieves and recover nearly 2,000 head of cattle. The thieves numbered 60.",6
"24","1997-04-12",1997,"Violence against civilians","Police Forces of Kenya (1978-2002)","Civilians (Kenya)","Kenya","Uasin Gishu","Ainabkoi","Kapsoya","Eldoret",0.516667,35.283333,"Agence France Presse","Police beat up opposition MPs Oburu and Raila Odinga, sons of former opposiiton leader Odinga Odinga in Eldoret.",0
"25","1997-04-14",1997,"Riots/Protests","Protesters (Kenya)","Police Forces of Kenya (1978-2002)","Kenya","Kitui","Kitui Central","Township","Kitui",-1.36667,38.01667,"Agence France Presse","200 protesters in support of NARC MP Charity Nguilu gathered at her home in Kitui. Police fired tear gas to disperse the crowd.",0
"26","1997-04-14",1997,"Violence against civilians","Police Forces of Kenya (1978-2002)","Civilians (Kenya)","Kenya","Kakamega","Lurambi","Sheywe","Kakamega",0.2833,34.75,"Agence France Presse; KTN TV","Riot police shot and seriously wounded a bodyguard of FORD opposition leader Michael Kijana Wamalwa in Kakamega.",0
"27","1997-04-18",1997,"Riots/Protests","Protesters (Kenya)","Unitentified","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"Xinhua","Street hawkers gather at Nairobi city council offices in protest of confiscated goods and the arrest of a colleague.",0
"28","1997-04-21",1997,"Violence against civilians","Unidentified Armed Group (Kenya)","Civilians (Kenya)","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"Agence France Presse","Gunmen shot and killed prominent Kenyan criminal lawyer Samuel Ndubgi.",1
"29","1997-05-01",1997,"Battle-No change of territory","Pokot Ethnic Militia (Kenya)","Police Forces of Kenya (1978-2002)","Kenya","Elgeyo-Marakwet","Keiyo North","Kapchemutwa","Iten",0.670173,35.507735,"Reuters News; Agence France Presse","Police and General Service Unit shoot dead seven Pokot cattle thieves over a two-day battle (4 fatalities coded for May 1, 3 fatalities coded for May 2). Up to 90 militiamen suspected to have drowned in Kerio River while escaping.",4
"30","1997-05-02",1997,"Battle-No change of territory","Pokot Ethnic Militia (Kenya)","Police Forces of Kenya (1978-2002)","Kenya","Elgeyo-Marakwet","Keiyo North","Kapchemutwa","Iten",0.670173,35.507735,"Reuters News; Agence France Presse","Police and General Service Unit shoot dead seven Pokot cattle thieves over a two-day battle (4 fatalities coded for May 1, 3 fatalities coded for May 2). 90 militiamen suspected to have drowned in Kerio River while escaping.",3
"31","1997-05-03",1997,"Riots/Protests","Rioters (Kenya)","Military Forces of Kenya (1978-2002) General Service Unit","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"Reuters News; Agence France Presse; KTN TV","One killed and six injured when opposition rioters burnt KANU offices in protest of the Public Order Act. General Services Unit fired tear gas and beat rioters. One motorist beaten to dead. Police deny any fatalities occurred.",1
"32","1997-05-12",1997,"Battle-No change of territory","Pokot Ethnic Militia (Kenya)","Marakwet Ethnic Militia (Kenya)","Kenya","Turkana","Turkana Central","Kerio Delta","Kerio",2.98333,36.11667,"Reuters News; Agence France Presse","Clashes between Pokot and Marakwet militia along Kerio River. 15 dead over two days (8 fatalities coded for May 12, 7 fatalities coded for May 14).",8
"33","1997-05-14",1997,"Battle-No change of territory","Pokot Ethnic Militia (Kenya)","Marakwet Ethnic Militia (Kenya)","Kenya","Turkana","Turkana Central","Kerio Delta","Kerio",2.98333,36.11667,"Reuters News; Agence France Presse","Clashes between Pokot and Marakwet militia along Kerio River. 15 dead over two days (8 fatalities coded for May 12, 7 fatalities coded for May 14).",7
"34","1997-05-31",1997,"Riots/Protests","Rioters (Kenya)","Police Forces of Kenya (1978-2002)","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"Agence France Presse","Rioters demanding constitutional reforms set up burning barricades and smashed windows of shops. Police fired tear gas, rubber bullets and beat rioters.",0
"35","1997-05-31",1997,"Riots/Protests","Police Forces of Kenya (1978-2002)","Rioters (Kenya)","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"Agence France Presse","700 rioters demanding constitutional reforms set up burning barricades, smashed windows of shops, and threw stones at police. Police fired tear gas, rubber bullets and beat rioters.",0
"36","1997-06-09",1997,"Battle-No change of territory","Borana Ethnic Militia (Kenya)","Degodia Ethnic Militia (Kenya)","Kenya","Isiolo","Isiolo North","Bulla Pesa","Isiolo",0.35462,37.58218,"BBC Monitoring Service: Africa","Tribal fighting cause the death of a worker and the closure of voter registration facility.",1
"37","1997-06-16",1997,"Violence against civilians","Unidentified Armed Group (Kenya)","Civilians (International)","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"Agence France Presse","Unknown group use iron bars to attack 3 Polish nuns at residence of an archbishop. Attack suspected to be connected to archbishops stance on justice in the country.",0
"39","1997-06-19",1997,"Riots/Protests","Rioters (Kenya)","Police Forces of Kenya (1978-2002)","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"The Globe and Mail; Associated Press","Students stoned motorists and police while marching to parliament to demand constitutional reforms. Police fired tear gas. 7 students and 3 police injured.",0
"40","1997-06-19",1997,"Riots/Protests","Rioters (Kenya)","Rioters (Kenya)","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"The Globe and Mail; Associated Press","MPs from opposing political parties throw punches inside parliament over budget talks.",0
"41","1997-07-03",1997,"Riots/Protests","Protesters (Kenya)","Unitentified","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"Reuters News","Students protest in Nairobi over the expulsion of those not paying student fees.",0
"42","1997-07-03",1997,"Riots/Protests","Police Forces of Kenya (1978-2002)","Rioters (Kenya)","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"Reuters News","Police clashed with stone throwing students in Nairobi as they protest the expulsion of those who did not pay their student fees.",0
"43","1997-07-05",1997,"Riots/Protests","Rioters (Kenya)","Unitentified","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"BBC Monitoring Service: Africa","Students of Jomo Kenyatta University riot over the intended repeal of the Public Universities Act. The rioting caused the burning down of an office block.",0
"44","1997-07-05",1997,"Riots/Protests","Rioters (Kenya)","Police Forces of Kenya (1978-2002)","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"BBC Monitoring Service: Africa","Police use tear gas to quell student rioters.",0
"45","1997-07-07",1997,"Riots/Protests","Rioters (Kenya)","Police Forces of Kenya (1978-2002)","Kenya","Laikipia","Laikipia West","Igwamiti","Nyahururu",0.0333,36.3667,"Reuters News","A policeman is shot and wounded while trying disperse protesters.",0
"46","1997-07-07",1997,"Violence against civilians","Police Forces of Kenya (1978-2002)","Civilians (Kenya)","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"Reuters News","Riot police, armed with batons forcefully break up an opposition protest in Nairobis Uhuru Park and kill three in the process.",3
